DisplayDate,Open,High,Low,Close,Volume,OI,Change in price,Condition (Close<open),change is negative,close>open,change is positive,Volume (outlier),change in price (outlier),Volume (after outlier),Change in price (removing O),Act Change in price (removing O)
9/4/2020 0:00,531.5,537.25,519.8,523.65,28434123,0,7.85,1,7.85,0,0,1,1,28434123,7.85,-7.85
9/3/2020 0:00,550.55,552.9,535.65,538,24622381,0,12.55,1,12.55,0,0,1,1,24622381,12.55,-12.55
9/2/2020 0:00,550,559,545.1,550.55,35023081,0,0.55,0,0,1,0.55,1,1,35023081,0.55,0.55
9/1/2020 0:00,517.5,555.45,514.2,546.25,74337280,0,28.75,0,0,1,28.75,0,0,0,0,0
8/31/2020 0:00,518.5,522.3,508.55,513.1,186856499,0,5.4,1,5.4,0,0,0,1,0,5.4,-5.4
8/28/2020 0:00,512.1,529.55,512.1,523.45,21808591,0,11.35,0,0,1,11.35,1,1,21808591,11.35,11.35
8/27/2020 0:00,514.4,518.5,508,511.15,21871778,0,3.25,1,3.25,0,0,1,1,21871778,3.25,-3.25
8/26/2020 0:00,528.4,528.4,512,514.5,25906518,0,13.9,1,13.9,0,0,1,1,25906518,13.9,-13.9
8/25/2020 0:00,534.5,535.65,526,528.65,19516042,0,5.85,1,5.85,0,0,1,1,19516042,5.85,-5.85
8/24/2020 0:00,517.9,532.4,508.2,526.9,29166922,0,9,0,0,1,9,1,1,29166922,9,9
8/21/2020 0:00,529.8,529.8,516,520.25,21835588,0,9.55,1,9.55,0,0,1,1,21835588,9.55,-9.55
8/20/2020 0:00,531,533.6,522.7,525.55,13440102,0,5.45,1,5.45,0,0,1,1,13440102,5.45,-5.45
8/19/2020 0:00,529,539.9,527.1,535.85,17075491,0,6.85,0,0,1,6.85,1,1,17075491,6.85,6.85
8/18/2020 0:00,522.05,529.1,520.15,526.3,13517889,0,4.25,0,0,1,4.25,1,1,13517889,4.25,4.25
8/17/2020 0:00,530.55,532.5,518.1,521.4,19014347,0,9.15,1,9.15,0,0,1,1,19014347,9.15,-9.15
8/14/2020 0:00,542.85,542.85,525,528.6,18209193,0,14.25,1,14.25,0,0,1,1,18209193,14.25,-14.25
8/13/2020 0:00,534,548.3,524.25,535.35,36774554,0,1.35,0,0,1,1.35,1,1,36774554,1.35,1.35
